n_estimators_ee,n_estimators_ada,learning_rate_ada,max_depth_tree,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
15,75,0.015793471579469587,3,0.5877887788778878,0.018449675175052603,0.8545454545454545,0.0361138087893291,0.7633790023465294,0.060555435553780755,True
20,75,0.015187002538217486,3,0.5927392739273927,0.017856920437023593,0.8181818181818181,0.03494276482446084,0.7679963666641436,0.06003080058500896,True
15,75,0.01876321791577414,3,0.5924092409240924,0.018665238060925838,0.8545454545454547,0.03652754691976317,0.7675270607826812,0.0596776284844186,True
20,75,0.011532055825307825,3,0.5902640264026403,0.018235960017176568,0.8363636363636363,0.03568369617474576,0.7638634471273938,0.05949872174830366,True
20,50,0.017369696244213122,3,0.5882838283828382,0.018147385458276617,0.8363636363636363,0.035512817388149084,0.7645901142986904,0.059100089611384674,True
15,50,0.03633961229125615,3,0.596039603960396,0.01880756750383174,0.8545454545454547,0.036800923435578496,0.7699947013852093,0.05898224880071219,True
20,50,0.024375820831018028,3,0.5943894389438944,0.0179273911996568,0.8181818181818181,0.03507819315908739,0.7692983120127167,0.05882335626947216,True
20,75,0.010703464927379279,3,0.5892739273927392,0.01819154053640277,0.8363636363636363,0.03559823037441198,0.7641662251154341,0.05874419959753217,True
20,75,0.010353677627159781,3,0.5891089108910891,0.017711238585030563,0.8181818181818181,0.0346622363193019,0.7643176141094542,0.058376673584578986,True
5,100,0.0200779575904131,3,0.5863036303630363,0.0167588103592022,0.7818181818181819,0.03279473234154079,0.7597305275906441,0.058356420901393834,True
15,50,0.012748038636780392,3,0.5844884488448845,0.01797865286270344,0.8363636363636363,0.03519088257746551,0.7563167057754902,0.05817156738835214,True
20,50,0.04480548090182578,3,0.6033003300330033,0.018794608550259405,0.8363636363636363,0.03675717719240783,0.7751873438800999,0.058051692830706256,True
20,75,0.02921823433500276,3,0.6056105610561057,0.018882681922874525,0.8363636363636363,0.036924878214630696,0.7742790099159791,0.05788994562536981,True
15,75,0.010994335574766204,3,0.5830033003300331,0.017894581982084913,0.8363636363636363,0.03503091830567201,0.7571114979940959,0.05782323492949347,True
5,75,0.027731915462416608,3,0.5945544554455445,0.017086901917663138,0.7818181818181819,0.03342519538367929,0.7591174021648627,0.057812650499941734,True
5,100,0.014241025744427035,2,0.5229372937293729,0.014383737747744364,0.7818181818181819,0.02822790390172101,0.7277571720535916,0.056922856188239467,True
5,75,0.010039864321550209,3,0.5524752475247525,0.014917380062220834,0.7454545454545455,0.029227610142579873,0.7423283627280297,0.05678593497228444,True
20,50,0.05991164666241781,3,0.6059405940594059,0.018895561923383212,0.8363636363636363,0.036950163983758284,0.7774430398909999,0.05524364440961914,True
10,75,0.02184311033840323,3,0.5866336633663366,0.01729047514220857,0.8,0.03384206902791891,0.7620467791991522,0.054625153919530246,True
5,100,0.02383303238169846,3,0.5897689768976898,0.017399781872468156,0.8,0.03404397181760275,0.7576943456210734,0.05356124785858698,True
5,75,0.014757172438059773,2,0.5089108910891089,0.013984603976191437,0.7818181818181819,0.02745705871710285,0.7243130724396336,0.05355687988804776,True
10,100,0.030718363862074813,3,0.6072607260726073,0.018565073578590018,0.8181818181818181,0.03630095992399951,0.7639391416244039,0.05299630851522108,True
10,75,0.02805730953852907,3,0.5958745874587459,0.017238192779139995,0.7818181818181819,0.0337251947176756,0.7615774733176899,0.052497962918937935,True
10,75,0.02742816792886571,3,0.5957095709570958,0.017697374918066475,0.8,0.03462124788904181,0.7632730300507153,0.05207196109628266,True
10,75,0.024974564508343036,3,0.5952145214521452,0.01767482006925535,0.8,0.03457791989337029,0.7630762243584892,0.05185119561885164,True
10,25,0.04846965295480686,1,0.4285478547854785,0.012052758644937836,0.7818181818181819,0.023733718517632743,0.7199076527136476,0.05174735832472699,True
5,25,0.01306673923805328,3,0.5372937293729373,0.014497115823853745,0.7636363636363637,0.02844323524518082,0.7487926727726893,0.05031968077607481,True
20,50,0.0235402352822945,2,0.566996699669967,0.015914663344444063,0.7818181818181819,0.03118039723869335,0.7233895995761109,0.049401624502771795,True
15,50,0.09866674183934356,3,0.6249174917491749,0.019353681685636663,0.8181818181818181,0.03780924052426258,0.7782151237605026,0.04918787950146902,True
10,75,0.03604881475348938,3,0.6018151815181517,0.017549569306708375,0.7818181818181819,0.03432328273304165,0.7642419196124443,0.04907464459848915,True
10,75,0.03819086260184995,3,0.6042904290429043,0.017657284212122346,0.7818181818181819,0.03452882129634191,0.7623192793883884,0.04702265027906668,True
