n_estimators_ee,depth,learning_rate,iterations,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
5,4,0.038867187765716044,200,0.6292079207920793,0.019697604134182183,0.8181818181818181,0.03846845914964201,0.7751419271818939,0.03770696671655634,True
5,5,0.029346188547643516,200,0.6191419141914191,0.019613844178633124,0.8363636363636363,0.038327211945693176,0.7784422072515328,0.0376492680858348,True
5,5,0.07338201183124582,50,0.5650165016501651,0.016331315175623383,0.8,0.03200630644737813,0.7476345469684353,0.03763882320990587,True
5,8,0.04711541371497623,200,0.615016501650165,0.019787334604555416,0.8545454545454545,0.03867755991285403,0.7705699795624859,0.037380237026468685,True
5,5,0.06352269588590966,200,0.6260726072607261,0.019528115950942084,0.8181818181818181,0.03814376795385506,0.776398455832261,0.03737067263590719,True
5,5,0.07104038932642377,200,0.6275577557755776,0.019172006450043327,0.8,0.037444175749080946,0.7736583150404965,0.03729481629604674,True
20,8,0.28891832542969886,200,0.6229372937293729,0.01853589244515389,0.7818181818181819,0.03620659678292589,0.7723412307925213,0.03718112237141959,True
20,3,0.08530401757000806,100,0.6265676567656765,0.019472861457950994,0.8181818181818181,0.038033946041661416,0.7626371962758307,0.037046183136610636,True
5,3,0.04288214202350924,200,0.6344884488448844,0.01995484827432148,0.8181818181818181,0.03895760406054808,0.7845583226099462,0.03680613322339117,True
15,4,0.36298102918502,150,0.6367986798679869,0.019615545745165126,0.8,0.038288098909254095,0.7805465142684127,0.036516911047223224,True
5,4,0.09433681230446667,150,0.6255775577557756,0.019110119816101962,0.8,0.03732768414987507,0.7654076148663992,0.036308946595244286,True
5,4,0.012551115172973842,200,0.6151815181518152,0.019361120756143733,0.8363636363636363,0.0378445682021506,0.7668760881083945,0.03603543218956075,True
10,5,0.03754763440332371,200,0.6278877887788779,0.019176121977154476,0.8,0.03745028974870208,0.7850730451896146,0.035569726520001864,True
5,9,0.0585001130103953,200,0.6087458745874588,0.019474378065865598,0.8545454545454545,0.038078842524583635,0.7661342820376958,0.035430473640326365,True
20,9,0.3187754001255291,150,0.6191419141914192,0.017904995624204736,0.7636363636363637,0.03498496879312133,0.7638483082279919,0.03541811106204894,True
5,3,0.06823306930523523,200,0.6300330033003301,0.019260898223151572,0.8,0.03761311675960555,0.7790023465294074,0.0354177083381351,True
10,4,0.022345285960776038,200,0.6306930693069307,0.020141947214439584,0.8363636363636363,0.03933369979724785,0.7778517901748543,0.035027476683789416,True
10,5,0.05187250898450433,200,0.6301980198019802,0.018831034275470275,0.7818181818181819,0.03677183404470928,0.7817122095223678,0.03467054858612321,True
10,6,0.14285823980298432,150,0.6255775577557756,0.019013032570338182,0.8,0.037139753597257796,0.7762773446370449,0.03458488038134281,True
10,3,0.1453755557616192,100,0.6320132013201321,0.01895012958867433,0.7818181818181819,0.03700040171198111,0.7694497010067367,0.03445518304878227,True
5,7,0.01491873993871408,200,0.608085808580858,0.019458703856276273,0.8545454545454545,0.03804895396437631,0.7623646960865946,0.03442441355667579,True
20,7,0.1895917698793974,150,0.6297029702970297,0.019313779075940125,0.8,0.03770820705786731,0.7744909545076074,0.034303455616178355,True
20,9,0.3077954375736287,150,0.615016501650165,0.018164854345865355,0.7818181818181819,0.03549959400431832,0.7690106729240783,0.033839554920323325,True
15,5,0.24276213278693554,150,0.6366336633663366,0.019159177910752657,0.7818181818181819,0.03739730498837861,0.7779426235712663,0.03371929532641173,True
5,4,0.04298685045623458,200,0.6301980198019802,0.019723465845151007,0.8181818181818181,0.038517475901605897,0.7731587313602302,0.03367726791576209,True
5,5,0.03449511888047233,200,0.623102310231023,0.02023864221258933,0.8545454545454545,0.03953989428833106,0.7810763757474831,0.03360001219493784,True
5,6,0.3758438765668754,50,0.6166666666666666,0.01821356238406461,0.7818181818181819,0.03559597129859787,0.7694042843085307,0.033418319736780035,True
10,5,0.1678873214470911,150,0.6323432343234324,0.019366208596756345,0.8,0.0378140815370054,0.7750662326848838,0.03323636450884043,True
5,4,0.06479094127130636,200,0.6244224422442244,0.01943451251106531,0.8181818181818181,0.03796590441200447,0.7757474831579744,0.03294930599991269,True
5,9,0.4370990468130503,200,0.6191419141914192,0.01915595548856399,0.8181818181818181,0.03743190237504507,0.7425175989705549,0.03258023779178369,True
10,7,0.20916862675481593,100,0.6245874587458746,0.019445622182637422,0.8181818181818181,0.03798385176965685,0.771902202709863,0.03256244697428053,True
