n_estimators_ee,max_depth,learning_rate,n_estimators_xgb,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
20,6,0.03413580432159105,50,0.6384488448844884,0.019307745144702435,0.7818181818181819,0.03767543153876101,0.7748542880932556,0.06313426414267093,True
20,7,0.036947970391177615,100,0.6366336633663365,0.02009306497042958,0.8181818181818181,0.03921293191551154,0.786602074029218,0.06309806463837517,True
20,6,0.07154731028191787,50,0.636963696369637,0.020572960233317818,0.8363636363636363,0.04014852437122486,0.7871470744076905,0.06274884364765997,True
20,8,0.015264209087718158,100,0.6397689768976897,0.019397063449910507,0.7818181818181819,0.03784349051457923,0.7737794262357125,0.06264289761417224,True
20,5,0.03616287200771893,150,0.6364686468646864,0.02053406958786983,0.8363636363636363,0.04007521580153158,0.7878888804783892,0.06254267734207859,True
20,7,0.014143794529211226,100,0.641914191419142,0.019511575023793883,0.7818181818181819,0.03806156202521869,0.7734312315494664,0.06231994400388148,True
20,8,0.022098224865795837,100,0.6377887788778878,0.01971325787565742,0.8,0.038469888576044164,0.7793656801150558,0.06221622215097729,True
20,5,0.04149524393030216,50,0.6356435643564355,0.019602996839232896,0.8,0.03825926364015706,0.7778972068730603,0.0622043592113213,True
20,7,0.03380925885037082,50,0.6391089108910892,0.01979601846735321,0.8,0.038626059222085715,0.7755052607675422,0.0620068740610197,True
20,7,0.02496768924818065,50,0.638943894389439,0.019356974249582947,0.7818181818181819,0.03776693747543705,0.7724774808871395,0.061900119136168885,True
20,7,0.012546691140769714,100,0.6402640264026402,0.019425921949355468,0.7818181818181819,0.03789839737519808,0.7729165089697979,0.061753802916273914,True
20,6,0.06513931247115706,50,0.6356435643564357,0.020497976704165557,0.8363636363636363,0.04000541854738936,0.7848913783967906,0.061741069519779354,True
20,5,0.03870161351161255,50,0.635148514851485,0.019129712688904406,0.7818181818181819,0.03733699734334624,0.7767617894179094,0.06139942278306243,True
15,7,0.04197982724558674,150,0.6377887788778878,0.020180229498013697,0.8181818181818181,0.039380689119389425,0.7882976307622436,0.06090673280155314,True
15,8,0.037199395503574775,100,0.6397689768976897,0.0203171773501959,0.8181818181818181,0.03963944731348064,0.785330406479449,0.06070198849704182,True
15,5,0.035829678234795076,200,0.6412541254125413,0.019878356275331875,0.8,0.0387840397041112,0.7881765195670275,0.06066148992873086,True
15,4,0.033810926106525335,100,0.6367986798679868,0.02013068898990072,0.8181818181818181,0.03928568840599635,0.7855574899704794,0.060603140173414324,True
20,6,0.059660217446175855,100,0.6391089108910891,0.02068989049050298,0.8363636363636363,0.04037135025760798,0.7892665203239726,0.060243926966652386,True
20,7,0.02967828916061951,50,0.6392739273927392,0.019367776836365334,0.7818181818181819,0.03778805807807885,0.7738853985315268,0.06003280891448659,True
15,6,0.07716054397509403,100,0.6396039603960395,0.0202074985667468,0.8181818181818183,0.039432742116452715,0.787722352584967,0.059836620870327886,True
20,7,0.054791407237418245,100,0.6371287128712871,0.0205870844454489,0.8363636363636363,0.04017510646212559,0.7885095753538717,0.05981887239263113,True
20,6,0.07880117051602221,100,0.6405940594059405,0.020777115682995107,0.8363636363636363,0.040537077853735295,0.786359851638786,0.05978034470741415,True
15,6,0.060870401437795124,100,0.637953795379538,0.01971408884753672,0.8,0.038470850441293794,0.7861933237453635,0.05960730318938873,True
15,9,0.05727079412022203,150,0.641914191419142,0.019908826303247657,0.8,0.03884238169450019,0.7881159639694195,0.05893618105366205,True
20,7,0.01070265206015769,50,0.638943894389439,0.01981943811561985,0.8,0.03866607647092231,0.7692528953145106,0.05854841654657866,True
20,6,0.012780634929305134,50,0.6391089108910892,0.01982102354230832,0.8,0.038669641368185216,0.7695708122019529,0.0575271188159228,True
15,7,0.02335813966813072,50,0.641914191419142,0.01952164682003799,0.7818181818181819,0.03808065517645708,0.7705397017636818,0.05746491636132545,True
15,5,0.04652366944855318,150,0.6400990099009901,0.019810198455722097,0.8,0.03865488763554115,0.7858299901597154,0.05713402367347211,True
15,7,0.011302004716893967,100,0.6407590759075907,0.019462591598260526,0.7818181818181819,0.03796846074611319,0.7706759518582998,0.05677796934321115,True
20,7,0.013629710205575612,50,0.6387788778877888,0.020253991370344025,0.8181818181818181,0.03951577230224483,0.7693740065097268,0.05664475045959459,True
20,4,0.28257489689646714,50,0.6442244224422442,0.01957694651375802,0.7818181818181819,0.0381891190044609,0.7881008250700173,0.05583544199910027,True
15,7,0.09278057913939963,100,0.6414191419141914,0.019888867877589478,0.8,0.03880494286465029,0.7910074937552041,0.055583717628341536,True
15,3,0.03135775732257745,100,0.6321782178217823,0.020305988887498246,0.8363636363636363,0.039642168272625955,0.7800772083869503,0.0546450342297939,True
15,8,0.05074854401817233,100,0.6391089108910891,0.020681138918695222,0.8363636363636363,0.040354934011635514,0.7882067973658315,0.05455868690471233,True
15,7,0.2221647585017836,50,0.6425742574257426,0.020373011927718336,0.8181818181818183,0.03974773476605172,0.7887063810460979,0.05448230628843095,True
15,7,0.13104598303516404,100,0.6432343234323432,0.019987836413676924,0.8,0.038991714106696516,0.7861176292483536,0.054355116725231044,True
10,7,0.04260672384680252,100,0.6404290429042904,0.019446516249172104,0.7818181818181819,0.03793735000319272,0.7767617894179093,0.05388626436175924,True
15,6,0.046769554475964085,150,0.6407590759075907,0.019853385292647602,0.8,0.03873724968277248,0.7871622133070926,0.05332723775326444,True
15,7,0.09642961979497311,100,0.6400990099009901,0.01982235728910793,0.8,0.03867774967147975,0.7873741578987208,0.0532881769748202,True
15,6,0.497348702778491,100,0.6486798679867987,0.021222493297486024,0.8363636363636363,0.04138579153271571,0.7855120732722731,0.052961260470082615,True
10,8,0.025519501111952735,150,0.6407590759075907,0.01990839906890414,0.8,0.03883771719158992,0.7732798425554462,0.0528552880139194,True
10,7,0.03449458329019346,100,0.6391089108910892,0.019378160319213543,0.7818181818181819,0.037806982349091973,0.7731890091590342,0.05273281803992128,True
10,8,0.03776323058571508,100,0.6396039603960396,0.019414677712561352,0.7818181818181819,0.03787607921510281,0.7738702596321247,0.05271542767411934,True
10,7,0.015675815007159963,150,0.6392739273927394,0.019846187713997647,0.8,0.038720815992227736,0.7689047006282644,0.05174932344287313,True
15,3,0.10769622478263129,50,0.636963696369637,0.020604907229437783,0.8363636363636363,0.04020903725391416,0.7850881840890167,0.05161609313826646,True
5,8,0.031537667763234016,150,0.647029702970297,0.01923330346968524,0.7636363636363637,0.037513045552465624,0.7632124744531074,0.051038331691982,True
10,6,0.06727709897008738,50,0.6391089108910892,0.02032255999592001,0.8181818181818181,0.03964806840741612,0.7712966467337824,0.05051991221335604,True
15,7,0.30599397932766803,100,0.6463696369636963,0.020588722645804643,0.8181818181818183,0.040157107214977394,0.7859208235561275,0.04978945163062654,True
10,6,0.054182823195332394,100,0.6382838283828383,0.019752052328955313,0.8,0.03854208403538262,0.7787147074407691,0.04952693241432947,True
10,8,0.021839352923182977,150,0.6396039603960396,0.019410129966296298,0.7818181818181819,0.037867833823735084,0.7730224812656121,0.04952612599450925,True
5,7,0.024205067907581822,100,0.6450495049504951,0.019135045045665607,0.7636363636363637,0.037328170011550706,0.7552342744682462,0.04822078496394282,True
10,9,0.17524101118128144,150,0.6442244224422442,0.019567723173893693,0.7818181818181819,0.03816850623484404,0.7758231776549844,0.046333692790208554,True
5,9,0.4370990468130503,200,0.6473597359735973,0.01962850479341927,0.7818181818181819,0.03828641858674135,0.7633033078495194,0.045845698153182186,True
5,4,0.012551115172973842,200,0.6363036303630363,0.0186667212794984,0.7636363636363637,0.03643645932531746,0.7593217773067898,0.045115963794592914,True
